keyword,owner,repo_name,stars,forks_count,issue_count,network_count,subscribers_count,watchers_count,description,topics
C++,trojan-gfw,trojan,15033,2681,19,2681,516,15033,An unidentifiable mechanism that helps you bypass GFW.,"china,censorship-circumvention,anticensorship,gfw,antisurveillance,bypass-gfw,trojan"
C++,simdjson,simdjson,14952,762,116,762,231,14952,Parsing gigabytes of JSON per second ,"json,json-parser,simd,avx2,sse42,neon,aarch64,arm64,arm,vs2019,cpp11,gcc-compiler,clang-cl,mingw-w64,clang,c-plus-plus,x64,json-pointer"
C++,flameshot-org,flameshot,14834,945,322,945,182,14834,Powerful yet simple to use screenshot software :desktop_computer: :camera_flash:,"screenshot,qt,image-editing,gnu-linux,free-software,capture,gui,hacktoberfest,cross-platform"
C++,facebook,yoga,14753,1233,320,1233,374,14753,Yoga is a cross-platform layout engine which implements Flexbox. Follow https://twitter.com/yogalayout for updates.,
C++,google,mediapipe,14532,2963,304,2963,462,14532,"Cross-platform, customizable ML solutions for live and streaming media.","mediapipe,c-plus-plus,computer-vision,deep-learning,android,video-processing,audio-processing,mobile-development,machine-learning,inference,graph-framework,graph-based,calculator,framework,pipeline-framework,stream-processing,perception"
C++,notepad-plus-plus,notepad-plus-plus,14519,3357,1472,3357,617,14519,Notepad++ official repository,"notepad-official,notepad,editor,windows"
C++,aseprite,aseprite,14391,1284,1141,1284,398,14391,"Animated sprite editor & pixel art tool (Windows, macOS, Linux)","animation,pixel-art,graphics,animated-sprites,spritesheet,gif,aseprite,c-plus-plus,sprites,draw,pixel-editor,tile-editor,tilemap-editor,sprite-editor"
C++,zhongyang219,TrafficMonitor,14324,1653,399,1653,227,14324,这是一个用于显示当前网速、CPU及内存利用率的桌面悬浮窗软件，并支持任务栏显示，支持更换皮肤。,
C++,catchorg,Catch2,14180,2408,319,2408,457,14180,"A modern, C++-native, test framework for unit-tests, TDD and BDD - using C++14, C++17 and later (C++11 support is in v2.x branch, and C++03 on the Catch1.x branch)","testing,test-framework,tdd,bdd,no-dependencies,framework,cpp14,cpp"
C++,microsoft,react-native-windows,14148,1056,668,1056,296,14148,A framework for building native Windows apps with React.,"uwp,xbox,dotnet,react-native,react"
C++,apache,incubator-weex,14001,1857,248,1857,535,14001,Apache Weex (Incubating),weex
